# ATP-8 30-Minute Endurance Test
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz,lat,lon
1190,-0.3733,-0.0215,9.7244,6.3433,0.0235,0.0318,0.0473,0.000000,0.000000
1204,-0.3924,-0.0598,9.7412,6.3282,0.0333,0.0392,0.0463,0.000000,0.000000
1218,-0.3350,-0.0837,9.7555,6.3109,0.0255,0.0356,0.0449,0.000000,0.000000
1232,-0.3374,-0.0814,9.7843,6.3079,0.0156,0.0260,0.0480,0.000000,0.000000
1246,-0.3805,-0.0622,9.7627,6.2549,-0.0009,0.0144,0.0476,0.000000,0.000000
1260,-0.3326,-0.0694,9.7531,6.2141,-0.0026,0.0136,0.0475,0.000000,0.000000
1274,-0.3589,-0.0287,9.7460,6.1759,0.0057,0.0202,0.0440,0.000000,0.000000
1288,-0.4068,-0.0455,9.7603,6.1593,0.0170,0.0290,0.0447,0.000000,0.000000
1302,-0.3589,-0.0574,9.7196,6.0880,0.0231,0.0313,0.0496,0.000000,0.000000
1316,-0.3661,-0.0550,9.7077,6.0457,0.0153,0.0231,0.0435,0.000000,0.000000
1330,-0.3637,-0.0790,9.7962,6.1036,0.0041,0.0217,0.0455,0.000000,0.000000
1344,-0.3733,-0.0550,9.7579,6.0350,-0.0046,0.0162,0.0446,0.000000,0.000000
1358,-0.3924,-0.0215,9.7053,5.9524,-0.0003,0.0168,0.0451,0.000000,0.000000
1372,-0.3159,-0.0407,9.7125,5.9298,0.0108,0.0229,0.0460,0.000000,0.000000
1386,-0.3661,-0.0598,9.7651,5.9525,0.0218,0.0301,0.0447,0.000000,0.000000
1400,-0.3470,-0.0359,9.7196,5.8775,0.0202,0.0278,0.0444,0.000000,0.000000
1414,-0.3278,-0.0814,9.7364,5.8648,0.0185,0.0272,0.0478,0.000000,0.000000
1428,-0.3613,-0.0957,9.7149,5.8140,0.0049,0.0214,0.0443,0.000000,0.000000
1442,-0.3278,-0.0646,9.7029,5.7731,0.0020,0.0165,0.0440,0.000000,0.000000
1456,-0.3541,-0.0646,9.7196,5.7609,0.0011,0.0209,0.0473,0.000000,0.000000
1470,-0.3613,-0.0431,9.7531,5.7654,0.0075,0.0247,0.0464,0.000000,0.000000
1484,-0.3517,-0.0885,9.6718,5.6556,0.0163,0.0249,0.0446,0.000000,0.000000
1498,-0.3422,-0.0526,9.7340,5.6892,0.0147,0.0240,0.0438,0.000000,0.000000
1512,-0.3135,-0.0885,9.7412,5.6679,0.0122,0.0243,0.0463,0.000000,0.000000
1526,-0.3517,-0.0646,9.7101,5.6086,0.0072,0.0214,0.0455,0.000000,0.000000
1540,-0.3709,-0.0694,9.7412,5.6116,0.0055,0.0223,0.0469,0.000000,0.000000
1554,-0.3350,-0.0646,9.7340,5.5764,0.0093,0.0224,0.0467,0.000000,0.000000
1568,-0.3422,-0.0694,9.7364,5.5509,0.0105,0.0254,0.0483,0.000000,0.000000
1582,-0.3470,-0.0550,9.7316,5.5183,0.0119,0.0243,0.0437,0.000000,0.000000
1596,-0.3206,-0.0766,9.7388,5.4979,0.0111,0.0254,0.0449,0.000000,0.000000
1610,-0.3254,-0.0766,9.7771,5.5085,0.0107,0.0209,0.0440,0.000000,0.000000
1624,-0.3565,-0.0598,9.7340,5.4381,0.0072,0.0211,0.0483,0.000000,0.000000
1638,-0.3470,-0.0622,9.7531,5.4300,0.0058,0.0202,0.0466,0.000000,0.000000
1652,-0.3446,-0.0622,9.7316,5.3814,0.0125,0.0214,0.0441,0.000000,0.000000
1666,-0.3541,-0.0598,9.7101,5.3330,0.0064,0.0249,0.0454,0.000000,0.000000
1680,-0.3637,-0.0694,9.7508,5.3468,0.0075,0.0247,0.0451,0.000000,0.000000
1694,-0.3661,-0.0742,9.7005,5.2701,0.0110,0.0249,0.0463,0.000000,0.000000
1708,-0.3494,-0.0742,9.7292,5.2723,0.0119,0.0231,0.0467,0.000000,0.000000
1722,-0.3733,-0.0742,9.7220,5.2388,0.0095,0.0206,0.0449,0.000000,0.000000
1736,-0.3852,-0.0526,9.7627,5.2531,0.0087,0.0188,0.0472,0.000000,0.000000
1750,-0.3446,-0.0814,9.6861,5.1507,0.0104,0.0229,0.0463,0.000000,0.000000
1764,-0.3206,-0.0502,9.7244,5.1630,0.0127,0.0232,0.0487,0.000000,0.000000
1778,-0.3494,-0.0622,9.7196,5.1324,0.0107,0.0241,0.0469,0.000000,0.000000
1792,-0.3733,-0.0814,9.7029,5.0901,0.0095,0.0226,0.0443,0.000000,0.000000
1806,-0.3398,-0.0550,9.7125,5.0742,0.0104,0.0237,0.0463,0.000000,0.000000
1820,-0.3589,-0.0455,9.7651,5.1012,0.0031,0.0214,0.0429,0.000000,0.000000
1834,-0.3733,-0.0598,9.7101,5.0209,0.0093,0.0199,0.0431,0.000000,0.000000
1848,-0.3398,-0.0646,9.7723,5.0577,0.0076,0.0264,0.0473,0.000000,0.000000
1862,-0.3087,-0.0598,9.6909,4.9515,0.0081,0.0214,0.0454,0.000000,0.000000
1876,-0.3063,-0.0909,9.6933,4.9291,0.0084,0.0278,0.0467,0.000000,0.000000
1890,-0.3446,-0.0598,9.7364,4.9473,0.0111,0.0238,0.0463,0.000000,0.000000
1904,-0.3781,-0.0646,9.7651,4.9511,0.0089,0.0220,0.0464,0.000000,0.000000
1918,-0.3565,-0.0646,9.7244,4.8859,0.0084,0.0220,0.0463,0.000000,0.000000
1932,-0.3494,-0.0861,9.7029,4.8401,0.0086,0.0231,0.0444,0.000000,0.000000
