# ATP-2 IMU Static Accuracy
phase,sample,az_raw,az_filt,timestamp_ms
STATIC,52,9.7292,0.0037,102529
STATIC,53,9.7699,0.0441,102557
STATIC,54,9.6957,-0.0299,102589
STATIC,55,9.7125,-0.0131,102616
STATIC,56,9.7268,0.0013,102645
STATIC,57,9.7005,-0.0249,102672
STATIC,58,9.7173,-0.0081,102701
STATIC,59,9.7077,-0.0176,102727
STATIC,60,9.7149,-0.0104,102756
STATIC,61,9.6766,-0.0484,102783
STATIC,62,9.7651,0.0399,102812
STATIC,63,9.7101,-0.0151,102839
STATIC,64,9.7196,-0.0055,102868
STATIC,65,9.7101,-0.0149,102895
STATIC,66,9.7316,0.0066,102924
STATIC,67,9.7436,0.0184,102951
STATIC,68,9.7388,0.0136,102980
STATIC,69,9.7316,0.0064,103011
STATIC,70,9.7292,0.0039,103064
STATIC,71,9.7077,-0.0175,103093
STATIC,72,9.7101,-0.0150,103120
STATIC,73,9.7388,0.0136,103149
STATIC,74,9.7149,-0.0103,103197
STATIC,75,9.7196,-0.0055,103226
STATIC,76,9.7029,-0.0221,103253
STATIC,77,9.6885,-0.0363,103282
STATIC,78,9.7268,0.0020,103308
STATIC,79,9.7508,0.0258,103337
STATIC,80,9.7101,-0.0148,103364
STATIC,81,9.7149,-0.0100,103393
STATIC,82,9.7220,-0.0028,103420
STATIC,83,9.7268,0.0020,103449
STATIC,84,9.7316,0.0068,103475
STATIC,85,9.7340,0.0091,103508
STATIC,86,9.7531,0.0281,103536
STATIC,87,9.7412,0.0161,103564
STATIC,88,9.7077,-0.0173,103591
STATIC,89,9.7101,-0.0149,103620
STATIC,90,9.7244,-0.0005,103647
STATIC,91,9.7173,-0.0077,103675
STATIC,92,9.7244,-0.0005,103703
STATIC,93,9.7555,0.0305,103731
STATIC,94,9.7053,-0.0197,103759
STATIC,95,9.7149,-0.0101,103786
STATIC,96,9.7364,0.0114,103814
STATIC,97,9.7268,0.0018,103842
STATIC,98,9.7555,0.0304,103870
STATIC,99,9.7388,0.0136,103898
STATIC,100,9.7125,-0.0127,103925
STATIC,101,9.7196,-0.0055,103957
STATIC,102,9.7244,-0.0007,103986
STATIC,103,9.7508,0.0255,104013
STATIC,104,9.7220,-0.0032,104042
STATIC,105,9.6694,-0.0555,104068
STATIC,106,9.7316,0.0066,104097
STATIC,107,9.7340,0.0090,104124
STATIC,108,9.7101,-0.0149,104153
STATIC,109,9.7125,-0.0124,104180
STATIC,110,9.7364,0.0115,104209
STATIC,111,9.7005,-0.0243,104235
STATIC,112,9.7173,-0.0075,104264
STATIC,113,9.6981,-0.0265,104291
STATIC,114,9.7149,-0.0097,104320
STATIC,115,9.7101,-0.0145,104347
STATIC,116,9.7484,0.0237,104379
STATIC,117,9.7005,-0.0240,104407
STATIC,118,9.7340,0.0094,104435
STATIC,119,9.6646,-0.0597,104463
STATIC,120,9.7077,-0.0165,104491
STATIC,121,9.7388,0.0145,104518
STATIC,122,9.7029,-0.0213,104546
STATIC,123,9.7675,0.0431,104574
STATIC,124,9.7244,0.0001,104602
STATIC,125,9.7149,-0.0095,104630
STATIC,126,9.7364,0.0120,104658
STATIC,127,9.7149,-0.0095,104686
STATIC,128,9.7244,0.0001,104714
STATIC,129,9.7388,0.0144,104741
STATIC,130,9.7484,0.0238,104769
STATIC,131,9.7508,0.0261,104802
STATIC,132,9.7795,0.0545,104828
STATIC,133,9.7412,0.0162,104857
STATIC,134,9.7340,0.0089,104884
STATIC,135,9.7125,-0.0125,104913
STATIC,136,9.7388,0.0137,104939
STATIC,137,9.7244,-0.0006,104968
STATIC,138,9.7053,-0.0197,104995
STATIC,139,9.7101,-0.0148,105024
STATIC,140,9.6957,-0.0290,105050
STATIC,141,9.7555,0.0306,105079
