# ATP-3 TAP TEST
timestamp_ms,ax,ay,az_raw,az_filt,gx,gy,gz
1405,-0.2393,-0.0287,9.6909,5.1699,-0.0043,0.0279,0.0275
1415,-0.2632,-0.0144,9.6766,5.1298,-0.0050,0.0234,0.0272
1425,-0.2560,-0.0287,9.6574,5.0851,-0.0029,0.0272,0.0283
1435,-0.2297,-0.0335,9.7005,5.1025,-0.0058,0.0289,0.0304
1445,-0.2417,-0.0431,9.6981,5.0746,-0.0047,0.0250,0.0302
1455,-0.2752,-0.0215,9.6957,5.0469,-0.0060,0.0278,0.0273
1465,-0.2680,-0.0215,9.6670,4.9931,-0.0003,0.0292,0.0281
1475,-0.2919,-0.0335,9.6598,4.9609,-0.0005,0.0257,0.0252
1485,-0.3063,-0.0072,9.6981,4.9742,-0.0012,0.0295,0.0255
1495,-0.2465,-0.0048,9.6120,4.8636,-0.0003,0.0231,0.0286
1505,-0.2130,-0.0096,9.6814,4.9084,-0.0020,0.0273,0.0281
1515,-0.2584,-0.0215,9.6861,4.8886,-0.0027,0.0286,0.0298
1525,-0.2441,-0.0215,9.6622,4.8403,-0.0038,0.0264,0.0276
1535,-0.2560,-0.0383,9.6885,4.8423,-0.0029,0.0281,0.0287
1545,-0.2967,-0.0120,9.6239,4.7538,-0.0043,0.0258,0.0287
1555,-0.2656,-0.0167,9.6957,4.8015,-0.0040,0.0273,0.0330
1565,-0.2441,-0.0359,9.6742,4.7561,-0.0005,0.0257,0.0250
1575,-0.2704,-0.0191,9.7005,4.7585,-0.0066,0.0246,0.0272
1585,-0.2752,-0.0239,9.6574,4.6918,-0.0011,0.0264,0.0289
1595,-0.2441,-0.0239,9.6455,4.6565,-0.0003,0.0255,0.0315
1605,-0.2847,-0.0550,9.6838,4.6713,-0.0002,0.0307,0.0292
1615,-0.2201,-0.0335,9.6981,4.6622,-0.0002,0.0270,0.0302
1625,-0.2321,-0.0311,9.6718,4.6127,-0.0026,0.0304,0.0284
1635,-0.2656,-0.0239,9.6933,4.6111,-0.0014,0.0281,0.0249
1645,-0.2560,-0.0167,9.6981,4.5928,-0.0023,0.0247,0.0264
1655,-0.2728,-0.0335,9.6885,4.5603,-0.0061,0.0266,0.0284
1665,-0.2536,-0.0239,9.7005,4.5494,-0.0064,0.0241,0.0304
1675,-0.2273,-0.0383,9.7220,4.5481,-0.0023,0.0258,0.0318
1685,-0.2536,-0.0311,9.6981,4.5015,-0.0012,0.0283,0.0272
1695,-0.2512,-0.0335,9.6622,4.4433,-0.0057,0.0267,0.0296
1705,-0.2584,-0.0072,9.6861,4.4449,-0.0018,0.0260,0.0283
1715,-0.2800,-0.0479,9.6838,4.4203,-0.0012,0.0254,0.0278
1725,-0.2393,-0.0311,9.7460,4.4601,-0.0040,0.0295,0.0322
1735,-0.2249,-0.0072,9.6766,4.3687,-0.0003,0.0292,0.0284
1745,-0.2728,-0.0287,9.6885,4.3588,0.0012,0.0292,0.0275
1755,-0.2991,-0.0144,9.6622,4.3108,-0.0014,0.0278,0.0321
1765,-0.2441,-0.0120,9.6909,4.3178,-0.0035,0.0283,0.0252
1775,-0.2847,-0.0335,9.6742,4.2796,-0.0041,0.0249,0.0299
1785,-0.2082,-0.0311,9.6909,4.2748,-0.0021,0.0273,0.0307
1795,-0.2489,-0.0287,9.7173,4.2797,-0.0015,0.0247,0.0276
1805,-0.2656,-0.0407,9.6790,4.2202,-0.0044,0.0276,0.0272
1815,-0.2512,-0.0191,9.6694,4.1895,-0.0075,0.0289,0.0304
1825,-0.2608,-0.0431,9.6933,4.1924,-0.0029,0.0296,0.0279
1835,-0.2800,-0.0646,9.7196,4.1976,-0.0050,0.0273,0.0301
1845,-0.2465,-0.0311,9.7173,4.1743,-0.0021,0.0276,0.0307
1855,-0.2417,-0.0072,9.7316,4.1677,-0.0002,0.0312,0.0247
1865,-0.2632,-0.0215,9.6861,4.1016,-0.0024,0.0325,0.0290
1875,-0.2704,-0.0215,9.6814,4.0763,-0.0023,0.0237,0.0295
1885,-0.2680,-0.0359,9.7077,4.0821,-0.0041,0.0292,0.0272
1895,-0.2560,-0.0359,9.7316,4.0855,-0.0067,0.0270,0.0246
1905,-0.2321,-0.0383,9.7220,4.0556,-0.0053,0.0284,0.0272
1915,-0.2465,-0.0096,9.7173,4.0305,0.0006,0.0266,0.0273
1925,-0.2800,-0.0359,9.7268,4.0199,-0.0020,0.0252,0.0273
1935,-0.2560,-0.0311,9.6766,3.9498,-0.0040,0.0310,0.0260
1945,-0.2369,-0.0670,9.6957,3.9491,-0.0061,0.0254,0.0286
1955,-0.2512,-0.0383,9.7173,3.9508,-0.0050,0.0269,0.0235
1965,-0.2441,-0.0215,9.7005,3.9144,-0.0055,0.0267,0.0249
1975,-0.2201,-0.0431,9.7173,3.9115,-0.0046,0.0257,0.0286
1985,-0.2536,-0.0144,9.6694,3.8443,0.0006,0.0299,0.0263
1995,-0.2680,-0.0407,9.7101,3.8655,-0.0008,0.0235,0.0272
2005,-0.2584,-0.0431,9.7101,3.8462,-0.0026,0.0246,0.0310
2015,-0.2584,-0.0144,9.6981,3.8151,0.0018,0.0267,0.0301
2025,-0.2489,-0.0550,9.6885,3.7865,-0.0024,0.0316,0.0299
2035,-0.2752,-0.0072,9.6981,3.7771,-0.0027,0.0293,0.0275
2045,-0.2776,-0.0215,9.7101,3.7701,-0.0040,0.0231,0.0293
2055,-0.2584,-0.0096,9.7101,3.7512,-0.0066,0.0286,0.0295
2065,-0.2512,-0.0287,9.6814,3.7039,-0.0058,0.0264,0.0295
2075,-0.2584,-0.0167,9.7292,3.7330,-0.0020,0.0250,0.0284
2085,-0.2680,-0.0287,9.6766,3.6620,-0.0034,0.0293,0.0287
2095,-0.2895,-0.0215,9.6718,3.6389,-0.0021,0.0289,0.0284
2105,-0.2512,-0.0096,9.6766,3.6255,-0.0049,0.0293,0.0293
2115,-0.2393,-0.0215,9.6885,3.6192,-0.0002,0.0238,0.0313
2125,-0.2225,-0.0311,9.7101,3.6226,-0.0037,0.0260,0.0278
2135,-0.2632,-0.0191,9.7388,3.6330,-0.0008,0.0290,0.0270
2281,-0.2082,-0.0335,9.6144,3.4911,-0.0014,0.0276,0.0261
2291,-0.2680,-0.0144,9.6215,3.4808,-0.0070,0.0289,0.0252
2301,-0.2776,-0.0287,9.6861,3.5276,-0.0038,0.0264,0.0293
2311,-0.2465,-0.0239,9.6957,3.5195,0.0003,0.0232,0.0284
2321,-0.2465,-0.0383,9.7196,3.5257,-0.0026,0.0243,0.0313
2331,-0.2656,-0.0191,9.6766,3.4652,-0.0050,0.0264,0.0290
2341,-0.2608,0.0024,9.7005,3.4717,-0.0064,0.0244,0.0283
2351,-0.2560,-0.0287,9.7388,3.4925,0.0003,0.0289,0.0272
2361,-0.2704,-0.0287,9.7292,3.4655,-0.0023,0.0286,0.0287
2371,-0.2847,-0.0144,9.6957,3.4148,-0.0023,0.0278,0.0290
2381,-0.2728,-0.0144,9.7675,3.4692,-0.0044,0.0254,0.0276
2391,-0.2632,-0.0191,9.6790,3.3637,-0.0047,0.0257,0.0278
2401,-0.2608,-0.0167,9.7268,3.3945,0.0000,0.0283,0.0322
2411,-0.2752,-0.0191,9.7388,3.3895,-0.0026,0.0273,0.0267
2421,-0.2536,-0.0239,9.7053,3.3392,-0.0037,0.0269,0.0266
2431,-0.2967,-0.0335,9.7029,3.3201,-0.0053,0.0244,0.0284
2441,-0.2465,-0.0263,9.6742,3.2749,-0.0018,0.0286,0.0292
2451,-0.2728,-0.0167,9.7149,3.2990,-0.0073,0.0232,0.0272
2461,-0.2560,-0.0311,9.7077,3.2754,-0.0046,0.0241,0.0296
2471,-0.2249,-0.0287,9.7149,3.2662,-0.0009,0.0302,0.0290
2481,-0.2656,-0.0311,9.7364,3.2713,-0.0034,0.0275,0.0278
2491,-0.2608,-0.0072,9.7029,3.2216,-0.0031,0.0273,0.0310
2501,-0.2632,-0.0144,9.7340,3.2364,-0.0032,0.0304,0.0266
2511,-0.2465,-0.0144,9.7292,3.2155,-0.0058,0.0269,0.0295
2521,-0.2489,-0.0144,9.7101,3.1803,-0.0024,0.0263,0.0281
2531,-0.2656,-0.0311,9.7292,3.1835,-0.0024,0.0281,0.0286
2541,-0.2824,-0.0191,9.7101,3.1485,-0.0046,0.0252,0.0298
2551,-0.2489,-0.0144,9.7029,3.1256,-0.0043,0.0240,0.0287
2561,-0.2704,-0.0335,9.7220,3.1291,-0.0018,0.0269,0.0284
2571,-0.2584,-0.0120,9.7005,3.0920,-0.0064,0.0276,0.0279
2581,-0.2776,-0.0335,9.7555,3.1313,-0.0072,0.0269,0.0287
2591,-0.2824,-0.0072,9.7125,3.0728,-0.0037,0.0217,0.0279
2601,-0.2273,-0.0383,9.7173,3.0622,-0.0070,0.0269,0.0270
2611,-0.2536,-0.0191,9.7603,3.0897,-0.0047,0.0269,0.0284
2621,-0.2393,-0.0263,9.7029,3.0171,-0.0029,0.0275,0.0270
2631,-0.2417,-0.0144,9.7316,3.0306,-0.0006,0.0263,0.0313
2641,-0.2847,-0.0215,9.7436,3.0274,-0.0031,0.0289,0.0269
2651,-0.2776,-0.0215,9.7340,3.0027,-0.0012,0.0267,0.0257
2661,-0.2943,-0.0502,9.7603,3.0139,-0.0008,0.0281,0.0283
2671,-0.2321,-0.0072,9.6838,2.9226,0.0011,0.0292,0.0312
2681,-0.2560,-0.0096,9.7316,2.9556,-0.0035,0.0246,0.0279
2691,-0.2680,-0.0024,9.7292,2.9385,-0.0052,0.0254,0.0283
2701,-0.2417,-0.0120,9.7053,2.9000,-0.0047,0.0287,0.0258
2711,-0.2632,-0.0239,9.6861,2.8664,-0.0034,0.0244,0.0283
2721,-0.2847,-0.0263,9.7005,2.8664,-0.0027,0.0229,0.0313
2731,-0.2441,-0.0263,9.6838,2.8354,-0.0021,0.0284,0.0264
2741,-0.2201,-0.0263,9.7268,2.8641,-0.0017,0.0312,0.0260
2751,-0.2489,-0.0144,9.7316,2.8545,-0.0021,0.0272,0.0273
2761,-0.2728,-0.0215,9.7268,2.8355,-0.0041,0.0235,0.0257
2771,-0.2608,-0.0383,9.6814,2.7761,-0.0006,0.0293,0.0278
2781,-0.2752,-0.0239,9.7029,2.7836,-0.0064,0.0276,0.0255
2791,-0.2560,-0.0191,9.7292,2.7959,-0.0024,0.0264,0.0287
2801,-0.2489,-0.0407,9.7029,2.7557,-0.0017,0.0255,0.0257
2811,-0.2441,-0.0239,9.7316,2.7705,-0.0046,0.0238,0.0289
2821,-0.2608,-0.0144,9.7053,2.7305,-0.0015,0.0276,0.0310
2831,-0.2776,-0.0120,9.7244,2.7358,-0.0050,0.0261,0.0293
2841,-0.2608,-0.0263,9.7603,2.7579,-0.0049,0.0263,0.0270
2851,-0.2297,-0.0191,9.7603,2.7441,-0.0061,0.0231,0.0260
2861,-0.2632,-0.0263,9.7388,2.7089,-0.0038,0.0244,0.0307
2871,-0.2441,-0.0167,9.6838,2.6406,-0.0038,0.0293,0.0296
2881,-0.2680,-0.0191,9.7196,2.6631,-0.0086,0.0244,0.0296
2891,-0.2465,-0.0383,9.7364,2.6665,-0.0037,0.0234,0.0295
2901,-0.2225,-0.0239,9.7388,2.6555,-0.0003,0.0258,0.0272
2911,-0.2656,-0.0431,9.7531,2.6566,-0.0021,0.0290,0.0287
2921,-0.2489,-0.0239,9.7149,2.6052,-0.0005,0.0270,0.0283
2931,-0.2512,-0.0072,9.6861,2.5636,-0.0040,0.0284,0.0284
2941,-0.2680,-0.0287,9.7508,2.6150,-0.0014,0.0250,0.0283
2951,-0.2680,-0.0263,9.6622,2.5139,-0.0012,0.0270,0.0249
2961,-0.2656,-0.0072,9.7292,2.5680,-0.0050,0.0293,0.0290
2971,-0.2512,-0.0215,9.7101,2.5361,-0.0031,0.0281,0.0304
2981,-0.2800,-0.0431,9.7412,2.5544,-0.0029,0.0284,0.0296
2991,-0.2321,-0.0120,9.7196,2.5202,-0.0021,0.0264,0.0260
3001,-0.2991,-0.0311,9.7077,2.4957,-0.0037,0.0307,0.0313
3011,-0.2800,-0.0263,9.7412,2.5165,-0.0017,0.0255,0.0283
3021,-0.2680,-0.0167,9.7436,2.5063,-0.0021,0.0263,0.0270
3031,-0.2393,-0.0335,9.7149,2.4652,-0.0031,0.0244,0.0284
3041,-0.2632,-0.0215,9.7053,2.4434,-0.0061,0.0260,0.0299
3051,-0.2321,-0.0239,9.7268,2.4526,-0.0040,0.0286,0.0270
3061,-0.2680,-0.0167,9.7196,2.4332,-0.0014,0.0269,0.0290
3071,-0.2656,-0.0287,9.7340,2.4353,-0.0027,0.0286,0.0293
3081,-0.2201,-0.0048,9.6790,2.3683,-0.0037,0.0310,0.0263
3091,-0.2441,-0.0335,9.7101,2.3875,-0.0067,0.0273,0.0305
3101,-0.2895,-0.0239,9.7125,2.3779,-0.0021,0.0255,0.0273
3111,-0.2656,-0.0311,9.7196,2.3732,-0.0035,0.0315,0.0276
3121,-0.2632,-0.0239,9.7268,2.3684,-0.0058,0.0270,0.0305
3131,-0.2943,-0.0383,9.7220,2.3518,-0.0041,0.0255,0.0307
3141,-0.2632,-0.0263,9.7340,2.3520,-0.0037,0.0289,0.0278
3151,-0.2345,-0.0120,9.7436,2.3497,-0.0053,0.0295,0.0252
3161,-0.2584,-0.0287,9.7149,2.3094,-0.0032,0.0221,0.0272
3171,-0.2752,-0.0215,9.6622,2.2455,-0.0389,0.0263,0.0281
3181,-0.2680,-0.0239,9.7077,2.2795,-0.0066,0.0243,0.0273
3191,-0.2297,-0.0359,9.7316,2.2919,-0.0055,0.0247,0.0296
3201,-0.2465,-0.0359,9.7244,2.2733,-0.0055,0.0258,0.0298
3211,-0.2321,-0.0191,9.7699,2.3072,-0.0034,0.0275,0.0264
3221,-0.2919,-0.0191,9.7268,2.2528,-0.0035,0.0226,0.0255
3231,-0.2967,-0.0239,9.7196,2.2344,-0.0095,0.0249,0.0275
3241,-0.2441,-0.0335,9.7412,2.2446,-0.0026,0.0218,0.0290
3251,-0.2489,-0.0598,9.7388,2.2310,-0.0037,0.0252,0.0270
3261,-0.2632,-0.0191,9.7531,2.2342,-0.0052,0.0290,0.0273
3271,-0.2560,-0.0335,9.7125,2.1825,-0.0009,0.0258,0.0270
3395,-0.2560,-0.0144,9.6574,2.1168,-0.0015,0.0279,0.0289
3405,-0.2632,-0.0096,9.6646,2.1134,-0.0072,0.0247,0.0257
3415,-0.2489,-0.0191,9.6574,2.0957,-0.0005,0.0296,0.0261
3425,-0.2417,-0.0144,9.7484,2.1757,-0.0041,0.0264,0.0308
3435,-0.2656,-0.0359,9.7173,2.1339,-0.0029,0.0255,0.0267
3445,-0.2465,-0.0191,9.7531,2.1589,-0.0011,0.0224,0.0260
3455,-0.2800,-0.0215,9.6909,2.0862,-0.0021,0.0238,0.0289
3465,-0.2560,-0.0167,9.7292,2.1139,-0.0058,0.0272,0.0284
3475,-0.2776,-0.0120,9.7819,2.1557,-0.0046,0.0254,0.0264
3485,-0.2800,-0.0359,9.7196,2.0830,-0.0021,0.0273,0.0313
